date,ONB,ORI,OSBC,OLN,OLLI
2016-01-10,2,49,0,1,12
2016-01-17,3,48,0,1,11
2016-01-24,2,49,0,1,10
2016-01-31,2,49,0,1,12
2016-02-07,2,51,0,1,12
2016-02-14,2,47,0,1,10
2016-02-21,2,45,0,1,10
2016-02-28,2,46,0,1,9
2016-03-06,2,47,0,1,12
2016-03-13,2,45,0,1,10
2016-03-20,2,45,0,1,11
2016-03-27,1,45,0,1,10
2016-04-03,1,43,0,1,9
2016-04-10,2,44,0,1,13
2016-04-17,2,41,0,1,11
2016-04-24,2,47,0,1,12
2016-05-01,2,46,0,1,13
2016-05-08,2,43,0,1,10
2016-05-15,2,44,0,1,10
2016-05-22,2,45,0,1,11
2016-05-29,2,44,0,1,10
2016-06-05,2,45,0,1,10
2016-06-12,2,45,0,1,12
2016-06-19,1,47,0,1,12
2016-06-26,2,46,0,1,10
2016-07-03,2,40,0,1,8
2016-07-10,2,45,0,1,9
2016-07-17,1,42,0,1,9
2016-07-24,1,42,0,1,9
2016-07-31,1,46,0,1,10
2016-08-07,1,50,0,1,9
2016-08-14,1,47,0,1,14
2016-08-21,2,43,0,1,10
2016-08-28,1,42,0,1,9
2016-09-04,2,42,0,1,9
2016-09-11,2,39,0,1,8
2016-09-18,2,42,0,1,9
2016-09-25,2,43,0,1,9
2016-10-02,2,43,0,1,10
2016-10-09,2,42,0,1,9
2016-10-16,2,41,0,1,9
2016-10-23,1,44,0,1,10
2016-10-30,1,40,0,1,9
2016-11-06,2,41,0,1,7
2016-11-13,2,43,0,1,10
2016-11-20,2,43,0,1,9
2016-11-27,2,44,0,1,10
2016-12-04,2,42,0,1,11
2016-12-11,2,43,0,1,10
2016-12-18,2,43,0,1,11
2016-12-25,2,45,0,1,12
2017-01-01,2,43,0,1,12
2017-01-08,2,43,0,1,11
2017-01-15,2,44,0,1,9
2017-01-22,2,45,0,1,10
2017-01-29,2,45,0,1,12
2017-02-05,2,41,0,1,9
2017-02-12,2,43,0,1,9
2017-02-19,2,42,0,1,10
2017-02-26,2,44,0,1,12
2017-03-05,2,44,0,1,13
2017-03-12,2,42,0,1,10
2017-03-19,1,43,0,1,9
2017-03-26,2,42,0,1,10
2017-04-02,2,42,0,1,10
2017-04-09,2,40,0,1,9
2017-04-16,2,40,0,1,13
2017-04-23,2,40,0,1,11
2017-04-30,2,42,0,1,11
2017-05-07,2,41,0,1,10
2017-05-14,2,40,0,1,10
2017-05-21,1,40,0,1,10
2017-05-28,1,44,0,1,11
2017-06-04,2,43,0,1,9
2017-06-11,2,71,0,1,13
